viz_name,pharmacies,neighborhood,average_min_distance,median_min_distance,max_min_distance,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,county,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,pct_change_x2020_pop,pct_change_x2020_pop_hisp,pct_change_x2020_pop_white_non_hisp,pct_change_x2020_pop_black_non_hisp,pct_change_x2020_pop_aian_non_hisp,pct_change_x2020_pop_asian_non_hisp,pct_change_x2020_pop_nhpi_non_hisp,pct_change_x2020_pop_other_non_hisp,pct_change_x2020_pop_two_plus_non_hisp,x2010_pop_white_non_hisp_share,x2010_pop_black_non_hisp_share,x2010_pop_hisp_share,x2020_pop_white_non_hisp_share,x2020_pop_black_non_hisp_share,x2020_pop_hisp_share,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed,color_pct_change_x2020_pop,color_pct_change_x2020_pop_hisp,color_pct_change_x2020_pop_white_non_hisp,color_pct_change_x2020_pop_black_non_hisp,color_pct_change_x2020_pop_aian_non_hisp,color_pct_change_x2020_pop_asian_non_hisp,color_pct_change_x2020_pop_nhpi_non_hisp,color_pct_change_x2020_pop_other_non_hisp,color_pct_change_x2020_pop_two_plus_non_hisp,viz_x2020_pop_white_non_hisp,viz_x2020_pop_black_non_hisp,viz_x2020_pop_hisp,viz_x2020_pop
Old Goucher,0,old goucher,0.03233409948303834,0.021523186321395386,0.09316007803682097,970,55,305,517,5,63,1,1,23,862,73,304,387,2,59,2,4,30,baltimore city,-109,19,-1,-130,-3,-4,1,3,7,-11.2,33.9,-0.3,-25.1,-64.6,-6.5,248.7,226.1,28.6,31,53,6,35,45,9,majority minority,majority black,yes,red,green,red,red,red,red,green,green,green,304,387,73,862
Oldtown,0,oldtown,0.09623141672274468,0.09118771568963976,0.1909893993724723,2878,33,67,2702,1,40,0,4,31,2487,42,80,2281,8,5,0,15,57,baltimore city,-392,9,13,-421,7,-35,-0,11,26,-13.6,27.4,18.9,-15.6,767.5,-87.6,-100,262.8,83.7,2,94,1,3,92,2,majority black,majority black,no,red,green,green,red,green,red,red,green,green,80,2281,42,2487
Oliver,0,oliver,0.23149395737871797,0.2339525875566117,0.39733791811964686,2979,27,45,2856,6,7,1,2,34,2649,61,45,2459,7,12,0,12,53,baltimore city,-330,34,-1,-397,1,4,-1,10,20,-11.1,124.5,-1.2,-13.9,17.9,57.8,-100,409,57.9,2,96,1,2,93,2,majority black,majority black,no,red,green,red,red,green,green,red,green,green,45,2459,61,2649
Orangeville,0,orangeville,0.38801572444591315,0.47412145842137315,0.6424682261272154,924,270,506,105,8,15,1,1,19,1021,568,315,69,3,28,0,6,33,baltimore city,97,298,-191,-36,-5,13,-1,5,14,10.5,110.2,-37.8,-34.3,-61.8,90.8,-100,774.7,74.4,55,11,29,31,7,56,majority hispanic,majortiy white,yes,green,green,red,red,red,green,red,green,green,315,69,568,1021
Orangeville Industrial Area,0,orangeville industrial area,0.1422367967436227,0.11286607291993125,0.4847732672608899,656,165,212,242,8,15,0,1,14,853,333,142,322,2,25,1,2,26,baltimore city,197,168,-70,80,-6,10,0,2,12,29.9,102.3,-33.1,33.1,-69.3,71.2,19.4,314.5,81.1,32,37,25,17,38,39,majority minority,majority minority,no,green,green,red,green,red,green,green,green,green,142,322,333,853
Orchard Ridge,0,orchard ridge,0.21900017382094786,0.16684731882581744,0.4861878101151473,474,30,136,287,7,1,0,0,11,783,83,111,554,2,2,1,1,29,baltimore city,309,53,-25,267,-5,1,1,1,17,65.2,175.6,-18.3,92.8,-74.7,59.6,4561.2,11622.4,150.7,29,61,6,14,71,11,majority black,majority black,no,green,green,red,green,red,green,green,green,green,111,554,83,783
Original Northwood,0,original northwood,0.7410455192677118,0.7638162626798217,0.9025745520911531,1420,33,137,1207,2,12,1,2,26,1266,40,228,791,1,153,0,6,47,baltimore city,-154,7,91,-416,-1,140,-1,4,22,-10.8,22.4,66.1,-34.4,-65,1140.3,-83.7,153,84.3,10,85,2,18,62,3,majority black,majority black,no,red,green,green,red,red,green,red,green,green,228,791,40,1266
Otterbein,0,otterbein,0.23092926574236633,0.22875152550241423,0.360197465034669,928,29,685,136,3,53,1,3,17,1154,65,772,161,1,96,0,8,52,baltimore city,227,36,87,25,-2,42,-1,6,35,24.4,123.5,12.6,18,-66.6,79.4,-99.7,218.6,200.3,74,15,3,67,14,6,majority white,majortiy white,yes,green,green,green,green,red,green,red,green,green,772,161,65,1154
Overlea,0,overlea,0.29500038131891243,0.28949070357332896,0.5173164840989491,1551,60,928,516,5,16,1,3,23,1501,86,649,664,2,28,2,8,63,baltimore city,-50,26,-279,148,-3,12,1,6,39,-3.2,42.8,-30.1,28.7,-51,74.4,204.6,196.2,166.6,60,33,4,43,44,6,majority minority,majortiy white,yes,red,green,red,green,red,green,green,green,green,649,664,86,1501
Panway/Braddish Avenue,0,panway/braddish avenue,0.4014899059094482,0.4649017963366713,0.5308650325604823,1088,7,14,1057,2,1,1,0,8,1016,11,17,947,3,2,0,4,31,baltimore city,-72,4,3,-110,2,1,-1,4,24,-6.6,61.4,22.5,-10.4,103.1,223.3,-100,5526.7,317.2,1,97,1,2,93,1,majority black,majority black,no,red,green,green,red,green,green,red,green,green,17,947,11,1016
Park Circle,0,park circle,0.5600929384839088,0.6060204883195629,0.7622856359935338,3527,43,59,3358,10,8,1,3,45,2845,57,127,2558,11,9,3,7,73,baltimore city,-682,14,67,-800,1,1,2,5,28,-19.3,32.3,113.8,-23.8,9.1,9.9,285.8,152.9,63,2,95,1,4,90,2,majority black,majority black,no,red,green,green,red,green,green,green,green,green,127,2558,57,2845
Parklane,0,parklane,0.23794872513207627,0.22720510866818655,0.39284684292196814,1705,15,37,1617,11,5,0,0,20,1411,37,48,1289,3,2,1,5,26,baltimore city,-293,22,11,-328,-8,-3,1,4,6,-17.2,151.5,30.8,-20.3,-71.4,-61.4,67060.2,1097.4,32.5,2,95,1,3,91,3,majority black,majority black,no,red,green,green,red,red,red,green,green,green,48,1289,37,1411
Parkside,0,parkside,0.4164293425450465,0.43771049210578883,0.49036894704965034,1726,22,150,1439,6,79,0,1,29,1581,37,79,1396,2,24,0,6,37,baltimore city,-145,15,-71,-43,-3,-55,0,4,8,-8.4,68.4,-47.4,-3,-57.9,-70.2,0.7,280.8,29.4,9,83,1,5,88,2,majority black,majority black,no,red,green,red,red,red,red,green,green,green,79,1396,37,1581
Parkview/Woodbrook,0,parkview/woodbrook,0.11500726112341864,0.10332557011869384,0.23509273357531052,214,3,5,201,0,0,0,0,4,173,4,8,154,0,1,0,1,5,baltimore city,-41,1,3,-47,0,1,-0,0,1,-19,35.7,75.7,-23.3,106.5,191.2,-48,72.7,17.6,2,94,1,5,89,2,majority black,majority black,no,red,green,green,red,green,green,red,green,green,8,154,4,173
Patterson Park,0,patterson park,0.18295264291284447,0.18295264291284447,0.18295264291284447,2409,248,1915,141,5,65,0,4,31,2514,206,1986,103,2,106,0,11,100,baltimore city,106,-41,71,-38,-3,41,0,7,69,4.4,-16.7,3.7,-26.7,-58.5,62.1,NA,187.6,221.8,79,6,10,79,4,8,majority white,majortiy white,yes,green,red,green,red,red,green,NA,green,green,1986,103,206,2514
Patterson Park Neighborhood,0,patterson park neighborhood,0.2224659029516909,0.2234377436751968,0.44794356270841895,4966,1142,1627,1960,48,86,2,6,94,4750,1362,1691,1360,21,116,1,20,179,baltimore city,-216,220,63,-601,-27,30,-1,14,86,-4.3,19.3,3.9,-30.6,-55.8,34.4,-73.4,232.5,91.3,33,39,23,36,29,29,majority minority,majority minority,no,red,green,green,red,red,green,red,green,green,1691,1360,1362,4750
Patterson Place,0,patterson place,0.2746579690615799,0.27986316195498173,0.3556154718495258,1096,173,338,528,11,25,1,1,20,1144,234,386,426,5,41,0,6,47,baltimore city,48,61,48,-103,-6,17,-1,5,27,4.4,35.5,14.2,-19.4,-58,67,-100,499.9,135.9,31,48,16,34,37,20,majority minority,majority minority,no,green,green,green,red,red,green,red,green,green,386,426,234,1144
Pen Lucy,0,pen lucy,0.7019172210056076,0.7107573801668142,0.7912659065585875,2526,37,186,2240,9,18,1,3,32,2195,37,211,1838,3,11,0,9,86,baltimore city,-331,0,25,-403,-6,-7,-1,6,53,-13.1,0.5,13.5,-18,-64.1,-36.6,-100,192.9,165.8,7,89,1,10,84,2,majority black,majority black,no,red,green,green,red,red,red,red,green,green,211,1838,37,2195
Penn North,0,penn north,0.08468003146786311,0.079019643937479,0.18522858384432667,2069,19,38,1973,3,4,0,3,30,1679,46,117,1431,0,26,0,8,52,baltimore city,-390,27,79,-542,-3,22,-0,4,22,-18.9,144.9,207,-27.5,-90,626.9,-67.1,136.1,76.1,2,95,1,7,85,3,majority black,majority black,no,red,green,green,red,red,green,red,green,green,117,1431,46,1679
Penn-Fallsway,0,penn-fallsway,0.09503355401871948,0.10271651078114727,0.2049604173409724,5735,86,781,4794,5,31,1,22,15,2489,71,246,2139,3,6,0,3,21,baltimore city,-3247,-15,-535,-2656,-1,-25,-1,-20,6,-56.6,-17.5,-68.5,-55.4,-24.6,-81.4,-100,-87.9,38.3,14,84,2,10,86,3,majority black,majority black,no,red,red,red,red,red,red,red,red,green,246,2139,71,2489
Penrose/Fayette Street Outreach,0,penrose/fayette street outreach,0.14516174304665264,0.15191263028735708,0.28684261203610323,3537,28,48,3401,11,6,1,2,38,2591,51,46,2399,3,9,2,11,72,baltimore city,-946,23,-2,-1003,-9,3,1,8,33,-26.7,81,-4.9,-29.5,-75.2,43.8,99.1,333.4,86.1,1,96,1,2,93,2,majority black,majority black,no,red,green,red,red,red,green,green,green,green,46,2399,51,2591
Perkins Homes,0,perkins homes,0.1732448945874935,0.183653894395403,0.2361304319627294,688,49,78,528,5,19,0,0,9,468,63,68,305,3,11,0,2,16,baltimore city,-221,14,-11,-222,-2,-8,0,2,6,-32,28.2,-13.8,-42.1,-45.5,-43.4,Inf,Inf,66.7,11,77,7,14,65,14,majority black,majority black,no,red,green,red,red,red,red,green,green,green,68,305,63,468
Perring Loch,0,perring loch,0.15205132670316085,0.15205132670316085,0.23682456457203788,2377,29,135,2166,5,9,0,4,28,1897,27,95,1648,2,68,1,7,48,baltimore city,-480,-1,-40,-518,-3,60,1,3,20,-20.2,-5.2,-29.9,-23.9,-60,705.8,Inf,55.6,71.4,6,91,1,5,87,1,majority black,majority black,no,red,red,red,red,red,green,green,green,green,95,1648,27,1897
Pimlico Good Neighbors,0,pimlico good neighbors,0.1960204400275652,0.14384688434201737,0.48204464429808974,2431,32,161,2192,5,7,0,6,28,1986,67,137,1701,5,12,0,10,54,baltimore city,-446,35,-25,-492,1,5,0,4,26,-18.3,110.9,-15.3,-22.4,11.2,66.5,Inf,67.4,92.2,7,90,1,7,86,3,majority black,majority black,no,red,green,red,red,green,green,green,green,green,137,1701,67,1986
Pleasant View Gardens,0,pleasant view gardens,0.19011882134441413,0.18441488373451076,0.24541898964294553,458,13,34,390,1,15,0,1,5,254,7,10,225,0,2,0,1,9,baltimore city,-204,-6,-24,-165,-0,-13,-0,-0,4,-44.5,-45.9,-69.7,-42.4,-94.4,-87.1,-100,-9.2,79.7,7,85,3,4,88,3,majority black,majority black,no,red,red,red,red,red,red,red,red,green,10,225,7,254
Poppleton,0,poppleton,0.12281391908933253,0.14075280424876258,0.27258387659127425,2600,25,63,2475,7,4,0,1,26,2416,47,55,2187,4,4,0,29,90,baltimore city,-184,22,-8,-288,-2,0,-0,28,65,-7.1,87.8,-12.7,-11.6,-37.6,4.7,-44.4,3271.8,252.9,2,95,1,2,91,2,majority black,majority black,no,red,green,red,red,red,green,red,green,green,55,2187,47,2416
Port Covington,0,port covington,0.4254311388787976,0.461999914116959,0.7224106254236776,1194,37,1058,44,2,31,0,1,20,1425,80,1149,82,2,44,0,4,65,baltimore city,231,43,91,38,-1,12,0,3,45,19.4,114.4,8.6,87.4,-29.2,39.7,0,457,221.2,89,4,3,81,6,6,majority white,majortiy white,yes,green,green,green,green,red,green,red,green,green,1149,82,80,1425
Pulaski Industrial Area,0,pulaski industrial area,0.5204158586831488,0.4861878101151473,1.2005783770611567,5168,881,1556,2467,24,117,3,21,101,5760,1933,1033,2444,16,154,0,33,147,baltimore city,592,1052,-523,-23,-8,37,-2,13,46,11.4,119.5,-33.6,-0.9,-33.4,31.6,-97,61,45.9,30,48,17,18,42,34,majority minority,majority minority,no,green,green,red,red,red,green,red,green,green,1033,2444,1933,5760
Purnell,0,purnell,0.2292480603277361,0.2292480603277361,0.27111774793181315,130,2,10,115,0,1,0,0,1,117,4,13,93,0,2,0,1,4,baltimore city,-13,2,3,-22,-0,1,0,0,3,-10.1,83.4,26.6,-18.9,-27.3,157.6,NA,22.6,197.2,8,88,2,11,79,4,majority black,majority black,no,red,green,green,red,red,green,NA,green,green,13,93,4,117
Radnor-Winston,0,radnor-winston,0.16281376078937768,0.17752515519590512,0.24296420904248636,420,12,225,154,0,21,0,0,8,524,38,214,157,0,86,0,2,26,baltimore city,104,26,-11,3,-0,65,0,2,19,24.8,213.6,-4.7,1.9,-12.3,305,Inf,1038.7,243.1,54,37,3,41,30,7,majority minority,majortiy white,yes,green,green,red,green,red,green,green,green,green,214,157,38,524
Ramblewood,0,ramblewood,0.1858805250290202,0.1858805250290202,0.1858805250290202,1832,30,70,1681,2,12,1,1,35,1706,50,51,1532,3,12,0,9,48,baltimore city,-127,21,-19,-149,1,0,-1,8,13,-6.9,69.1,-26.7,-8.9,50,3.1,-100,733.1,36.9,4,92,2,3,90,3,majority black,majority black,no,red,green,red,red,green,green,red,green,green,51,1532,50,1706
Reisterstown Station,0,reisterstown station,0.22129210927144102,0.11659059283870093,0.5828184601855348,2595,92,102,2332,8,23,1,1,36,2352,260,99,1884,8,23,0,9,67,baltimore city,-243,168,-3,-448,1,0,-1,8,31,-9.4,182.6,-3,-19.2,12.5,1.6,-84.2,750.2,88,4,90,4,4,80,11,majority black,majority black,no,red,green,red,red,green,green,red,green,green,99,1884,260,2352
Remington,0,remington,0.14447828294583265,0.13895156104796313,0.2887704303753579,1584,70,941,378,5,133,0,7,51,1708,150,1017,193,3,269,0,10,65,baltimore city,123,80,77,-185,-2,136,0,3,14,7.8,113.3,8.2,-48.9,-38.2,102.9,207.2,47.5,28,59,24,4,60,11,9,majority white,majortiy white,yes,green,green,green,red,red,green,green,green,green,1017,193,150,1708
Reservoir Hill,0,reservoir hill,0.2848962317753553,0.2908133376476064,0.49651001506393727,5960,103,485,5217,27,22,0,6,100,5099,137,615,4008,22,59,2,36,219,baltimore city,-861,35,130,-1208,-5,37,2,30,119,-14.4,33.7,26.9,-23.2,-20,165.3,4468339.6,487.3,119,8,88,2,12,79,3,majority black,majority black,no,red,green,green,red,red,green,green,green,green,615,4008,137,5099
Richnor Springs,0,richnor springs,0.3022955255120207,0.298186188449797,0.3472369745187238,374,4,10,352,2,1,0,0,5,353,10,12,318,1,0,0,2,9,baltimore city,-21,6,1,-34,-1,-1,0,2,4,-5.7,133.4,14.5,-9.5,-42.8,-85.9,NA,399.5,89.7,3,94,1,3,90,3,majority black,majority black,no,red,green,green,red,red,red,NA,green,green,12,318,10,353
Ridgely's Delight,0,ridgely's delight,0.11091320780063532,0.1175194608382315,0.1735357660548607,442,14,326,65,1,26,1,1,8,550,31,367,76,0,46,0,4,25,baltimore city,108,17,41,12,-1,20,-1,3,16,24.4,123.8,12.5,18.2,-66.5,79.3,-99.8,218.1,199.5,74,15,3,67,14,6,majority white,majortiy white,yes,green,green,green,green,red,green,red,green,green,367,76,31,550
Riverside,0,riverside,0.19895030559231952,0.20154571206815075,0.49337259413874424,3689,110,3278,116,3,126,1,4,52,4215,204,3467,159,1,202,0,7,174,baltimore city,525,94,189,43,-2,77,-1,3,122,14.2,85.7,5.8,36.8,-67.2,61,-97.3,68.9,232.7,89,3,3,82,4,5,majority white,majortiy white,yes,green,green,green,green,red,green,red,green,green,3467,159,204,4215
Rognel Heights,0,rognel heights,0.21404575283421562,0.21829677749924367,0.31534804119645393,1172,16,43,1095,2,3,0,1,12,1094,26,42,993,2,3,0,4,27,baltimore city,-78,10,-2,-102,-0,-1,-0,3,15,-6.7,59.6,-4,-9.3,-20,-16.8,-83.2,292.2,122,4,93,1,4,91,2,majority black,majority black,no,red,green,red,red,red,red,red,green,green,42,993,26,1094
Roland Park,0,roland park,0.36513090292041156,0.35405197889945905,0.7382619438877868,5130,153,4004,400,6,457,1,7,101,5164,209,3750,434,2,513,0,36,219,baltimore city,34,56,-254,34,-4,56,-0,28,118,0.7,36.7,-6.3,8.5,-68.8,12.3,-50.8,375,116.4,78,8,3,73,8,4,majority white,majortiy white,yes,green,green,red,green,red,green,red,green,green,3750,434,209,5164
Rosebank,0,rosebank,0.07369084257412477,0.03492944631248456,0.18443607367805762,300,7,232,44,1,10,0,1,6,300,13,216,45,0,10,0,2,13,baltimore city,-1,6,-16,1,-0,1,-0,1,8,-0.2,74.7,-6.8,2.1,-53.2,7.8,-50,132.8,132.8,77,15,2,72,15,4,majority white,majortiy white,yes,red,green,red,green,red,green,red,green,green,216,45,13,300
Rosemont,0,rosemont,0.39238773140593824,0.42032882468140487,0.5613738693765193,2516,21,15,2432,4,2,0,3,39,1936,29,23,1808,2,2,0,4,67,baltimore city,-580,8,8,-624,-2,0,-0,2,28,-23.1,37.5,53.9,-25.6,-52.2,0,-100,71,72.7,1,97,1,1,93,2,majority black,majority black,no,red,green,green,red,red,red,red,green,green,23,1808,29,1936
Rosemont East,0,rosemont east,0.3471228708301877,0.3629474672310848,0.5919956439420337,1850,53,810,901,9,27,2,1,48,1870,81,617,1038,8,16,1,22,87,baltimore city,19,29,-193,137,-1,-11,-1,21,39,1,54.8,-23.8,15.2,-9.3,-42.1,-59.8,2384.2,82.3,44,49,3,33,55,4,majority black,majority minority,yes,green,green,red,green,red,red,red,green,green,617,1038,81,1870
Rosemont Homeowners/Tenants,0,rosemont homeowners/tenants,0.09709651774704563,0.06455424454791127,0.23999417406967943,759,8,4,735,2,1,0,1,9,617,13,6,582,1,1,0,2,12,baltimore city,-142,5,1,-153,-0,-0,0,2,3,-18.7,60.8,33.9,-20.8,-11.8,-29.6,100,239.1,38,1,97,1,1,94,2,majority black,majority black,no,red,green,green,red,red,red,green,green,green,6,582,13,617
Sabina-Mattfeldt,0,sabina-mattfeldt,0.08050798689499726,0.04598222536310424,0.26819820001881384,334,9,268,34,0,14,0,1,8,373,13,279,47,0,13,0,4,17,baltimore city,39,4,11,13,-0,-1,-0,4,9,11.8,39.6,4,37.7,-16.4,-3.9,-100,679.6,119.1,80,10,3,75,13,3,majority white,majortiy white,yes,green,green,green,green,red,red,red,green,green,279,47,13,373
Saint Agnes,0,saint agnes,0.061948235811074795,0.06455424454791127,0.13596002464451853,382,9,171,186,2,5,0,0,8,345,18,120,180,1,8,0,1,18,baltimore city,-36,9,-51,-6,-1,3,-0,0,10,-9.5,95.7,-30,-3.2,-43.2,65.8,-70.1,81.3,121.4,45,49,2,35,52,5,majority black,majority minority,yes,red,green,red,red,red,green,red,green,green,120,180,18,345
Saint Helena,0,saint helena,0.40201217807735534,0.39247894027148933,0.5176129162865748,71,15,40,12,1,1,0,0,2,75,33,26,12,0,1,0,0,3,baltimore city,4,18,-14,0,-1,-1,-0,0,1,5.9,122.4,-35.3,2,-57.4,-36.4,-100,210,53.2,57,16,21,35,16,44,majority minority,majortiy white,yes,green,green,red,green,red,red,red,green,green,26,12,33,75
Saint Josephs,0,saint josephs,0.37296113875613196,0.3498845309833773,0.5651509016629633,1702,16,30,1616,3,4,0,2,31,1273,45,28,1152,2,7,0,6,33,baltimore city,-429,29,-2,-464,-1,2,0,4,2,-25.2,182.5,-5.7,-28.7,-36,49,4299,217.9,6.2,2,95,1,2,91,4,majority black,majority black,no,red,green,red,red,red,green,green,green,green,28,1152,45,1273
Saint Paul,0,saint paul,0.40488812710233285,0.4078927637668275,0.614392900311506,592,29,407,111,4,21,0,1,18,537,72,253,162,2,14,0,2,31,baltimore city,-55,43,-154,51,-2,-6,0,2,12,-9.3,145.8,-37.8,45.7,-42.9,-30.3,NA,204.8,65.3,69,19,5,47,30,13,majority minority,majortiy white,yes,red,green,red,green,red,red,NA,green,green,253,162,72,537
Sandtown-Winchester,0,sandtown-winchester,0.25661921329503545,0.24568851093871633,0.5549802620770927,7553,54,83,7304,7,22,0,5,78,5450,102,96,5058,5,25,2,27,134,baltimore city,-2103,49,13,-2246,-2,3,2,22,56,-27.8,91.1,16,-30.7,-25,13.8,86999.9,426.2,71.5,1,97,1,2,93,2,majority black,majority black,no,red,green,green,red,red,green,green,green,green,96,5058,102,5450
Seton Business Park,0,seton business park,0.20181787778544938,0.22783991715770494,0.3776137161986432,1735,27,25,1649,7,4,0,2,21,1556,58,33,1403,3,6,1,8,42,baltimore city,-179,31,8,-246,-3,2,1,6,21,-10.3,112.6,33.6,-14.9,-47.8,61.5,Inf,263.2,101.3,1,95,2,2,90,4,majority black,majority black,no,red,green,green,red,red,green,green,green,green,33,1403,58,1556
Seton Hill,0,seton hill,0.06348441284641519,0.05990350312776344,0.12200080549648319,1096,29,211,808,4,21,0,1,23,1040,46,229,676,1,25,0,3,60,baltimore city,-56,17,18,-131,-3,5,0,3,36,-5.1,59.5,8.4,-16.3,-83.3,23.3,Inf,400,155.9,19,74,3,22,65,4,majority black,majority black,no,red,green,green,red,red,green,green,green,green,229,676,46,1040
Sharp-Leadenhall,0,sharp-leadenhall,0.13884247057972132,0.14986808913893657,0.22094733085739446,1034,33,623,333,5,24,0,1,15,1283,58,781,339,2,45,1,4,53,baltimore city,249,25,158,6,-3,20,1,3,39,24.1,74.8,25.4,1.8,-55.5,82.5,11575.3,588.6,260.1,60,32,3,61,26,5,majority white,majortiy white,yes,green,green,green,green,red,green,green,green,green,781,339,58,1283
Shipley Hill,0,shipley hill,0.2827716572766611,0.29063744254615265,0.5026313945363088,1905,9,47,1818,4,4,1,0,21,1289,47,43,1154,7,1,0,3,35,baltimore city,-616,38,-4,-664,3,-3,-1,3,13,-32.3,416.3,-7.8,-36.5,68.5,-72.3,-72.5,611.2,61.7,2,95,0,3,89,4,majority black,majority black,no,red,green,red,red,green,red,red,green,green,43,1154,47,1289
South Baltimore,0,south baltimore,0.32459352967813443,0.3022500477628591,0.586150762992074,1808,62,1499,173,2,41,0,3,28,1940,98,1507,174,2,66,0,9,83,baltimore city,132,36,8,1,0,26,0,7,55,7.3,58.1,0.5,0.5,15.9,62.5,152,235.7,197.6,83,10,3,78,9,5,majority white,majortiy white,yes,green,green,green,green,green,green,green,green,green,1507,174,98,1940
South Clifton Park,0,south clifton park,0.34811733279877327,0.3480776445962456,0.6526387849724564,903,7,7,874,2,3,0,0,10,696,14,16,629,1,0,0,6,30,baltimore city,-207,7,9,-245,-2,-3,0,6,20,-23,108.8,124.5,-28,-61.3,-89.2,3786.9,1235.3,205.7,1,97,1,2,90,2,majority black,majority black,no,red,green,green,red,red,red,green,green,green,16,629,14,696
Spring Garden Industrial Area,0,spring garden industrial area,0.483653332562323,0.5260523242660822,0.8103479469543131,874,30,668,137,3,19,0,1,16,1186,60,854,173,2,44,1,4,48,baltimore city,312,30,186,37,-1,25,0,3,32,35.7,98,27.9,26.8,-44.3,132.2,33,521.5,204.8,76,16,3,72,15,5,majority white,majortiy white,yes,green,green,green,green,red,green,green,green,green,854,173,60,1186
Stadium Area,0,stadium area,0.11287781882845271,0.11720211913326604,0.22094733085739446,1051,33,639,299,3,50,1,4,22,1222,73,679,319,3,86,0,9,54,baltimore city,170,40,40,20,-0,35,-1,5,32,16.2,121.1,6.2,6.6,-12.5,70.2,-63.7,138.8,144.2,61,28,3,56,26,6,majority white,majortiy white,yes,green,green,green,green,red,green,red,green,green,679,319,73,1222
Stonewood-Pentwood-Winston,0,stonewood-pentwood-winston,0.3756914992191587,0.3756914992191587,0.6841049096040335,1014,13,59,923,2,4,0,2,12,813,12,45,697,1,33,0,3,21,baltimore city,-201,-0,-14,-225,-1,29,0,1,9,-19.8,-3.9,-23.4,-24.4,-60.1,769.2,1850.8,59.8,73.6,6,91,1,6,86,2,majority black,majority black,no,red,red,red,red,red,green,green,green,green,45,697,12,813
Taylor Heights,0,taylor heights,0.3691172910432609,0.33321381107476167,0.6457167276787263,929,37,577,288,3,9,0,2,13,893,53,400,379,1,18,1,4,37,baltimore city,-36,16,-177,91,-2,9,1,2,24,-3.9,41.6,-30.7,31.8,-61.5,100,400,122.2,190,62,31,4,45,42,6,majority minority,majortiy white,yes,red,green,red,green,red,green,green,green,green,400,379,53,893
Ten Hills,0,ten hills,0.4099229603496833,0.44733592862551175,0.5656226586624535,2391,35,598,1676,6,24,4,5,43,2272,98,513,1521,6,30,1,13,90,baltimore city,-119,63,-84,-155,0,6,-3,8,47,-5,181,-14.1,-9.3,8.1,23.6,-75,146.8,108.2,25,70,1,23,67,4,majority black,majority black,no,red,green,red,red,green,green,red,green,green,513,1521,98,2272
The Orchards,0,the orchards,0.5449622013494242,0.5550228883219196,0.664884014967617,904,23,735,93,2,32,0,2,17,906,41,685,101,1,33,0,5,40,baltimore city,2,18,-50,8,-1,1,0,3,23,0.2,77.3,-6.8,9,-49.9,4,NA,136.5,132.6,81,10,3,76,11,4,majority white,majortiy white,yes,green,green,red,green,red,green,NA,green,green,685,101,41,906
Towanda-Grantley,0,towanda-grantley,0.16843319563850273,0.1684601920959577,0.35747424295214647,1724,14,16,1670,4,2,0,1,17,1381,37,41,1249,4,2,1,7,42,baltimore city,-343,23,25,-421,-0,-0,0,6,25,-19.9,159.3,159.4,-25.2,-5.5,-16.2,48.6,511.1,148.3,1,97,1,3,90,3,majority black,majority black,no,red,green,green,red,red,red,green,green,green,41,1249,37,1381
Tremont,0,tremont,0.5289191640198216,0.5137894303099015,0.6076805553909382,253,4,63,178,1,3,0,1,5,241,10,54,161,1,3,0,1,10,baltimore city,-12,7,-9,-16,0,1,-0,1,5,-4.9,179.9,-14,-9.2,7.3,24.4,-75,147.8,108,25,70,1,22,67,4,majority black,majority black,no,red,green,red,red,green,green,red,green,green,54,161,10,241
Tuscany-Canterbury,0,tuscany-canterbury,0.4048026056701985,0.38668798248749403,0.5650369608859662,1738,61,1202,127,1,310,1,5,31,1771,83,992,131,0,456,0,12,97,baltimore city,33,22,-209,3,-1,146,-1,7,66,1.9,36.6,-17.4,2.6,-100,47.1,-100,128.8,213.8,69,7,3,56,7,5,majority white,majortiy white,yes,green,green,red,green,red,green,red,green,green,992,131,83,1771
Union Square,0,union square,0.2717931299525455,0.2548490306497821,0.38252466758747655,1238,96,359,704,12,24,0,1,40,1022,137,247,570,4,13,1,4,46,baltimore city,-217,40,-113,-134,-8,-11,1,3,6,-17.5,41.9,-31.3,-19.1,-67.2,-46,394.9,233.2,14.6,29,57,8,24,56,13,majority black,majority black,no,red,green,red,red,red,red,green,green,green,247,570,137,1022
