viz_name,pharmacies,neighborhood,average_min_distance,median_min_distance,max_min_distance,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,county,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,pct_change_x2020_pop,pct_change_x2020_pop_hisp,pct_change_x2020_pop_white_non_hisp,pct_change_x2020_pop_black_non_hisp,pct_change_x2020_pop_aian_non_hisp,pct_change_x2020_pop_asian_non_hisp,pct_change_x2020_pop_nhpi_non_hisp,pct_change_x2020_pop_other_non_hisp,pct_change_x2020_pop_two_plus_non_hisp,x2010_pop_white_non_hisp_share,x2010_pop_black_non_hisp_share,x2010_pop_hisp_share,x2020_pop_white_non_hisp_share,x2020_pop_black_non_hisp_share,x2020_pop_hisp_share,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed,color_pct_change_x2020_pop,color_pct_change_x2020_pop_hisp,color_pct_change_x2020_pop_white_non_hisp,color_pct_change_x2020_pop_black_non_hisp,color_pct_change_x2020_pop_aian_non_hisp,color_pct_change_x2020_pop_asian_non_hisp,color_pct_change_x2020_pop_nhpi_non_hisp,color_pct_change_x2020_pop_other_non_hisp,color_pct_change_x2020_pop_two_plus_non_hisp,viz_x2020_pop_white_non_hisp,viz_x2020_pop_black_non_hisp,viz_x2020_pop_hisp,viz_x2020_pop
Cedmont,0,cedmont,0.5005905698674691,0.5592599562317604,0.80304738215415306,2813,80,923,1718,9,35,0,5,44,2759,118,596,1911,4,24,1,8,97,baltimore city,-54,38,-327,193,-5,-11,1,3,54,-1.9,48.1,-35.4,11.2,-60,-31.7,1746319.3,62.5,123,33,61,3,22,69,4,majority black,majority black,no,red,green,red,green,red,red,green,green,green,596,1911,118,2759
Cedonia,0,cedonia,0.734093598881838,0.8456936775823741,1.0473175826060006,1453,29,156,1228,2,9,0,4,25,1438,29,95,1248,5,8,0,11,41,baltimore city,-15,0,-61,20,3,-1,0,7,17,-1.1,1.4,-38.9,1.6,118.6,-14.7,14352,163,66.6,11,85,2,7,87,2,majority black,majority black,no,red,green,red,green,green,red,green,green,green,95,1248,29,1438
Central Forest Park,0,central forest park,0.21811570594834584,0.23245211562051218,0.36456760169249985,1067,11,24,1014,3,3,0,1,11,923,29,29,827,3,6,0,8,22,baltimore city,-144,17,5,-187,0,2,0,7,11,-13.5,148.4,20.7,-18.5,7.3,63.4,Inf,799.2,105.4,2,95,1,3,90,3,majority black,majority black,no,red,green,green,red,green,green,green,green,green,29,827,29,923
Central Park Heights,0,central park heights,0.19328831703053784,0.19675238298527217,0.4117179495732859,5626,62,108,5361,17,9,0,5,65,4406,110,124,4031,10,12,1,16,100,baltimore city,-1220,48,17,-1329,-7,3,1,12,35,-21.7,78.5,15.5,-24.8,-38.9,32,569.1,258.2,53.1,2,95,1,3,91,2,majority black,majority black,no,red,green,green,red,red,green,green,green,green,124,4031,110,4406
Charles North,0,charles north,0.057873746658017124,0.04520290723437663,0.2370775078921166,1576,62,479,912,6,79,1,1,36,1684,129,583,784,3,100,2,8,75,baltimore city,108,67,105,-128,-3,21,2,6,38,6.8,107.7,21.9,-14.1,-48.2,27,319.4,438.9,104.9,30,58,4,35,47,8,majority minority,majority black,yes,green,green,green,red,red,green,green,green,green,583,784,129,1684
Charles Village,0,charles village,0.11654822629902856,0.10949821229134273,0.26789886065224394,4676,234,1989,1599,15,695,4,9,132,4644,451,1739,1322,8,849,5,29,240,baltimore city,-32,217,-250,-277,-7,155,1,20,108,-0.7,92.9,-12.6,-17.3,-49.5,22.3,34.3,232.1,82,43,34,5,37,28,10,majority minority,majority minority,no,red,green,red,red,red,green,green,green,green,1739,1322,451,4644
Cherry Hill,0,cherry hill,0.17151334429003084,0.1450753816749445,0.5391792840739562,8589,467,518,7406,16,68,1,8,104,8236,1101,390,6350,12,84,1,30,267,baltimore city,-353,635,-128,-1056,-3,16,-0,22,163,-4.1,136.1,-24.7,-14.3,-21.3,24,-29.3,256.5,156.6,6,86,5,5,77,13,majority black,majority black,no,red,green,red,red,red,green,red,green,green,390,6350,1101,8236
Cheswolde,0,cheswolde,0.69532673198972506,0.7297282642559171,0.9738841177555917,6991,156,5089,1338,8,292,2,13,93,7147,218,4724,1686,5,180,0,122,213,baltimore city,156,62,-365,348,-3,-112,-2,109,120,2.2,39.7,-7.2,26,-36.2,-38.4,-100,862.2,129,73,19,2,66,24,3,majority white,majortiy white,yes,green,green,red,green,red,red,red,green,green,4724,1686,218,7147
Chinquapin Park,0,chinquapin park,0.12074654401501071,0.14480800707451263,0.2174316249705195,1179,19,127,1001,5,8,0,1,18,1087,20,117,892,1,12,0,3,43,baltimore city,-92,1,-10,-109,-4,4,-0,2,25,-7.8,5,-8.3,-10.9,-84.2,56.1,-50,116.5,133.7,11,85,2,11,82,2,majority black,majority black,no,red,green,red,red,red,green,red,green,green,117,892,20,1087
Clifton Park,0,clifton park,0.22849388922224773,0.18307420928265344,0.5708558843338196,2487,44,534,1838,9,25,0,2,37,2113,53,428,1519,2,26,0,7,78,baltimore city,-375,10,-106,-319,-7,1,0,5,41,-15.1,22,-19.9,-17.4,-77.6,2.6,Inf,329.9,113.6,21,74,2,20,72,3,majority black,majority black,no,red,green,red,red,red,green,green,green,green,428,1519,53,2113
Coldspring,0,coldspring,0.2658738679951968,0.2931929784501769,0.4830488462363654,1068,17,189,791,5,36,0,3,27,1182,36,238,783,3,54,0,5,63,baltimore city,114,19,49,-8,-2,18,-0,2,36,10.6,107.4,26,-1,-38,48.9,-92.1,63.4,132.5,18,74,2,20,66,3,majority black,majority black,no,green,green,green,red,red,green,red,green,green,238,783,36,1182
Coldstream Homestead Montebello,0,coldstream homestead montebello,0.3628258393563884,0.3635605421610418,0.637690557837888,7924,130,215,7407,17,44,0,9,102,6188,195,267,5420,13,38,1,36,218,baltimore city,-1736,65,52,-1986,-4,-6,1,27,116,-21.9,49.7,24,-26.8,-24.8,-14.2,Inf,300.5,113.9,3,93,2,4,88,3,majority black,majority black,no,red,green,green,red,red,red,green,green,green,267,5420,195,6188
